views,cart_additions,total_spent,days_since_last_active,purchased
10,1,101.28,47,0
10,1,121.86,64,0
7,2,220.25,4,0
8,2,235.79,8,1
11,2,37.73,48,0
7,1,108.82,83,0
9,4,66.49,83,0
6,3,143.44,40,1
8,4,398.62,63,1
6,3,203.61,44,1
6,1,152.16,81,0
12,1,181.45,51,1
10,2,268.96,80,0
5,2,191.81,32,0
6,1,43.58,83,0
10,2,313.66,65,0
6,1,116.53,69,0
8,1,139.56,1,0
8,3,235.61,72,0
10,2,386.44,14,1
8,1,78.46,84,0
6,2,227.3,16,1
5,2,74.85,74,0
7,0,131.78,57,0
9,0,32.1,35,0
6,2,75.18,80,0
8,4,127.25,34,0
10,1,157.74,5,1
8,2,151.76,6,1
7,1,208.68,76,0
3,3,83.7,34,0
6,2,102.27,73,1
6,1,105.87,1,1
6,0,88.35,6,1
13,3,55.23,88,0
7,1,117.09,12,0
12,1,186.88,61,0
9,3,137.62,31,1
11,3,80.43,45,0
9,2,118.7,10,1
6,3,76.79,24,0
9,1,160.41,68,0
15,1,190.93,48,1
6,1,193.93,45,0
9,3,94.79,85,0
6,2,78.03,36,0
6,3,208.68,72,0
5,1,89.61,65,0
8,2,117.37,41,1
10,0,136.65,26,0
5,3,110.73,31,0
11,1,175.73,78,1
6,1,35.46,27,0
8,2,150.7,58,0
5,4,61.43,11,1
15,0,82.64,31,0
7,4,125.26,84,0
5,1,27.95,48,0
10,2,98.5,74,0
5,4,86.91,23,1
10,3,102.34,68,0
6,2,83.47,88,0
6,4,117.91,83,0
9,1,74.74,39,1
12,2,107.8,61,0
5,2,125.06,80,0
5,3,213.53,73,0
18,0,243.67,88,0
8,1,38.11,2,0
9,1,224.12,48,0
8,0,54.96,71,0
4,2,108.42,65,0
8,5,29.72,13,0
6,0,17.86,51,0
11,1,384.04,14,1
5,5,110.45,8,0
7,2,94.17,10,0
10,2,135.05,85,0
14,2,95.76,24,1
6,2,189.45,41,0
4,2,129.99,23,0
5,0,169.99,80,0
6,2,61.92,80,0
2,2,33.57,59,0
9,1,203.4,74,0
7,2,138.96,9,1
3,1,43.66,89,0
4,1,44.27,37,0
6,3,119.66,36,0
13,3,161.41,17,0
3,3,54.64,78,0
7,4,277.22,15,1
6,1,175.29,77,0
7,3,212.64,64,0
6,0,117.58,69,0
13,1,110.89,2,0
4,0,40.45,66,0
9,2,62.35,86,0
13,2,101.49,35,0
7,1,141.39,40,0
10,1,124.92,10,1
8,1,21.05,44,0
5,1,52.25,60,0
